stage,seed,threshold,val F1,test P,test R,test F1,test AUC
1,0,,0.3331,0.7219,0.251,0.3725,0.8522
1,1,,0.2654,0.6766,0.2325,0.3461,0.8457
1,2,,0.3608,0.6384,0.2942,0.4028,0.873
2,0,,0.0585,0.0944,1.0,0.1724,0.6984
2,1,,0.0584,0.0944,1.0,0.1724,0.7182
2,2,,0.0584,0.0944,1.0,0.1724,0.6899
3a,0,,0.0776,0.1477,0.5021,0.2283,0.8056
3a,1,,0.332,0.608,0.3128,0.413,0.8749
3a,2,,0.0583,0.0942,0.9979,0.1721,0.6995
3b,0,,0.306,0.6751,0.2737,0.3895,0.8628
3b,1,,0.2893,0.6544,0.2922,0.404,0.8651
3b,2,,0.2987,0.6832,0.284,0.4012,0.867
3c,0,,0.3635,0.6486,0.2963,0.4068,0.8804
3c,1,,0.3649,0.6304,0.2984,0.405,0.8799
3c,2,,0.3575,0.6715,0.286,0.4012,0.8816
