stage,variant,attn_norm,init_bias,clip,val F1,val PR-AUC,test F1,test AUC
1,(as published),,,,0.3331,0.2475,0.3725,0.8522
2,(as published),,,,0.0585,0.0196,0.1724,0.6984
2,attnnorm,True,0.0,0.0,0.2777,0.2073,0.3412,0.8384
2,attnnorm_init,True,3.0,0.0,0.265,0.1921,0.3146,0.8366
2,clip,False,0.0,1.0,0.0585,0.0206,0.1725,0.7138
2,initbias,False,3.0,0.0,0.0585,0.0195,0.1724,0.696
3a,(as published),,,,0.0776,0.0318,0.2283,0.8056
3b,(as published),,,,0.306,0.2374,0.3895,0.8628
3b,attnnorm,True,0.0,0.0,0.3699,0.285,0.4113,0.8839
3b,attnnorm_init,True,3.0,0.0,0.3689,0.2835,0.4,0.8812
3b,clip,False,0.0,1.0,0.3355,0.266,0.3989,0.8727
3b,initbias,False,3.0,0.0,0.2877,0.2225,0.3902,0.861
3c,(as published),,,,0.3635,0.2799,0.4068,0.8804
